Mode,Week Number,Year,Count
Roadway Traffic,25,2021,"37,600"
Roadway Traffic,29,2021,"39,500"
Roadway Traffic,30,2021,"39,500"
Roadway Traffic,31,2021,"39,600"
Roadway Traffic,32,2021,"39,000"
Roadway Traffic,33,2021,"38,800"
Roadway Traffic,34,2021,"40,400"
Roadway Traffic,35,2021,"40,100"
Roadway Traffic,36,2021,"39,900"
Roadway Traffic,37,2021,"38,500"
Roadway Traffic,38,2021,"38,900"
Roadway Traffic,39,2021,"38,900"
Roadway Traffic,40,2021,"37,300"
Roadway Traffic,41,2021,"37,500"
Roadway Traffic,42,2021,"38,500"
Roadway Traffic,43,2021,"38,100"
Roadway Traffic,44,2021,"38,200"
Roadway Traffic,45,2021,"36,900"
Roadway Traffic,46,2021,"38,800"
Roadway Traffic,47,2021,"39,600"
Roadway Traffic,48,2021,"39,500"
Roadway Traffic,49,2021,"40,800"
Roadway Traffic,50,2021,"38,100"
Roadway Traffic,51,2021,"41,600"
Roadway Traffic,52,2021,"41,600"
Roadway Traffic,1,2022,"39,000"
Roadway Traffic,2,2022,"38,000"
Roadway Traffic,3,2022,"31,100"
Roadway Traffic,4,2022,"28,900"
Roadway Traffic,5,2022,"27,800"
Roadway Traffic,6,2022,"29,400"
Roadway Traffic,7,2022,"31,100"
Roadway Traffic,8,2022,"35,200"
Roadway Traffic,9,2022,"38,500"
Roadway Traffic,10,2022,"37,700"
Roadway Traffic,11,2022,"37,200"
Roadway Traffic,12,2022,"40,900"
Roadway Traffic,13,2022,"42,100"
Roadway Traffic,14,2022,"38,900"
Roadway Traffic,15,2022,"43,800"
Roadway Traffic,16,2022,"43,100"
Roadway Traffic,17,2022,"43,900"
Roadway Traffic,18,2022,"43,700"
Roadway Traffic,19,2022,"43,900"
Roadway Traffic,20,2022,"44,300"
Roadway Traffic,21,2022,"45,400"
GT Operations,1,2019,"5,740"
GT Operations,2,2019,"5,700"
GT Operations,3,2019,"5,760"
GT Operations,4,2019,"5,920"
GT Operations,5,2019,"5,670"
GT Operations,6,2019,"6,100"
GT Operations,7,2019,"5,770"
GT Operations,8,2019,"6,070"
GT Operations,9,2019,"6,490"
GT Operations,10,2019,"6,310"
GT Operations,11,2019,"6,280"
GT Operations,12,2019,"6,240"
